Medication	102 158 4253 103
Medication	102 158 2588 9134 103
Appointment	102 158 2588 9134 103
Appointment	102 158 7900 6772 103
Medication	102 158 7900 6772 103
Medication	102 158 2588 9134 103
Medication	102 158 2588 9134 103
Appointment	102 158 1462 1944 225 103
Appointment	102 158 2588 9134 103
Medication	102 158 2588 9134 103
Medication	102 158 1115 103
Appointment	102 158 2588 9134 103
Other	102 158 1462 1944 225 103
Appointment	102 158 1462 1944 225 103
Medication	102 158 2588 9134 103
Other	102 158 1462 1944 225 103
Medication	102 158 4253 103
Medication	102 158 4253 103
Medication	102 158 2588 9134 103
Procedure	102 158 4253 103
Medication	102 158 7900 6772 103
Medication	102 158 7900 6772 103
Lab	102 158 2588 9134 103
Lab	102 158 4253 103
Medication	102 158 4253 103
Medication	102 158 1462 1944 225 103
Appointment	102 158 1462 1944 225 103
Appointment	102 158 2588 9134 103
Appointment	102 158 23383 221 103
Other	102 158 2588 9134 103
Lab	102 158 2588 9134 103
Procedure	102 158 2588 9134 103
Patient instructions	102 158 7900 6772 103
Patient instructions	102 158 7900 6772 103
Appointment	102 158 1462 1944 225 103
Medication	102 158 2588 9134 103
Lab	102 158 4253 103
Lab	102 158 2588 9134 103
Medication	102 158 7900 6772 103
Patient instructions	102 158 1462 1944 225 103
Imaging	102 158 15909 103
Medication	102 158 2588 9134 103
Patient instructions	102 158 7900 6772 103
Lab	102 158 2588 9134 103
Medication	102 158 103
Medication	102 158 2588 9134 103
Appointment	102 158 4253 103
Lab	102 158 2588 9134 103
Medication	102 158 7900 6772 103
Procedure	102 158 1115 103
Appointment	102 158 7900 6772 103
Medication	102 158 7900 6772 103
Appointment	102 158 1462 1944 225 103
Medication	102 158 23383 221 103
Other	102 158 23383 221 103
Lab	102 158 2588 9134 103
Other	102 158 1462 1944 225 103
Other	102 158 1462 1944 225 103
Patient instructions	102 158 7900 6772 103
Patient instructions	102 158 7900 6772 103
Other	102 158 1115 103
Appointment	102 158 2588 9134 103
Procedure	102 158 2588 9134 103
Appointment	102 158 1462 1944 225 103
Medication	102 158 7900 6772 103
Appointment	102 158 23383 221 103
Lab	102 158 2588 9134 103
Medication	102 158 2588 9134 103
Appointment	102 158 1462 1944 225 103
Appointment	102 158 2588 9134 103
Medication	102 158 1115 103
Appointment	102 158 15909 103
Procedure	102 158 2588 9134 103
Appointment	102 158 1462 1944 225 103
Appointment	102 158 2588 9134 103
Lab	102 158 4253 103
Medication	102 158 2588 9134 103
Other	102 158 103
Lab	102 158 4253 103
Appointment	102 158 1462 1944 225 103
Appointment	102 158 103
Appointment	102 158 103
Medication	102 158 4253 103
Medication	102 158 4253 103
Medication	102 158 2588 9134 103
Patient instructions	102 158 7900 6772 103
Lab	102 158 1115 103
Appointment	102 158 7900 6772 103
Patient instructions	102 158 7900 6772 103
Appointment	102 158 103
Other	102 158 2588 9134 103
Procedure	102 158 2588 9134 103
Lab	102 158 2588 9134 103
Medication	102 158 1462 1944 225 103
Medication	102 158 7900 6772 103
Appointment	102 158 2588 9134 103
Procedure	102 158 1115 103
Appointment	102 158 23383 221 103
Medication	102 158 1462 1944 225 103
Appointment	102 158 1462 1944 225 103
Lab	102 158 4253 103
Other	102 158 7900 6772 103
Appointment	102 158 1462 1944 225 103
Patient instructions	102 158 7900 6772 103
Patient instructions	102 158 7900 6772 103
Medication	102 158 2588 9134 103
Appointment	102 158 2588 9134 103
Appointment	102 158 23383 221 103
Patient instructions	102 158 7900 6772 103
Patient instructions	102 158 7900 6772 103
Medication	102 158 1462 1944 225 103
Lab	102 158 4253 103
Medication	102 158 2588 9134 103
Other	102 158 7900 6772 103
Medication	102 158 2588 9134 103
Lab	102 158 1115 103
Medication	102 158 1462 1944 225 103
Patient instructions	102 158 7900 6772 103
Appointment	102 158 2588 9134 103
Medication	102 158 23383 221 103
Appointment	102 158 7900 6772 103
Lab	102 158 1462 1944 225 103
Appointment	102 158 7900 6772 103
Patient instructions	102 158 7900 6772 103
Medication	102 158 4253 103
Appointment	102 158 1115 103
Appointment	102 158 1462 1944 225 103
Appointment	102 158 4253 103
Appointment	102 158 103
Procedure	102 158 2588 9134 103
Appointment	102 158 2588 9134 103
Appointment	102 158 1115 103
Appointment	102 158 1462 1944 225 103
Medication	102 158 1115 103
Appointment	102 158 2588 9134 103
Lab	102 158 23383 221 103
Medication	102 158 7900 6772 103
Appointment	102 158 4253 103
Patient instructions	102 158 7900 6772 103
Lab	102 158 2588 9134 103
Appointment	102 158 23383 221 103
Medication	102 158 2588 9134 103
Lab	102 158 2588 9134 103
Medication	102 158 103
Lab	102 158 4253 103
Patient instructions	102 158 1462 1944 225 103
Lab	102 158 2588 9134 103
Appointment	102 158 1462 1944 225 103
Medication	102 158 2588 9134 103
Lab	102 158 2588 9134 103
Medication	102 158 2588 9134 103
Lab	102 158 4253 103
Lab	102 158 2588 9134 103
Medication	102 158 1462 1944 225 103
Patient instructions	102 158 7900 6772 103
Other	102 158 1462 1944 225 103
Medication	102 158 2588 9134 103
Other	102 158 1115 103
Other	102 158 1462 1944 225 103
Other	102 158 1462 1944 225 103
Medication	102 158 4253 103
Appointment	102 158 2588 9134 103
Appointment	102 158 103
Appointment	102 158 7900 6772 103
Patient instructions	102 158 7900 6772 103
Appointment	102 158 1462 1944 225 103
Medication	102 158 2588 9134 103
Medication	102 158 2588 9134 103
Lab	102 158 2588 9134 103
Other	102 158 1462 1944 225 103
Appointment	102 158 1462 1944 225 103
Appointment	102 158 1462 1944 225 103
Patient instructions	102 158 7900 6772 103
Medication	102 158 1462 1944 225 103
Other	102 158 1115 103
Appointment	102 158 1462 1944 225 103
Medication	102 158 7900 6772 103
Medication	102 158 2588 9134 103
Appointment	102 158 1462 1944 225 103
Lab	102 158 2588 9134 103
Imaging	102 158 15909 103
Appointment	102 158 1462 1944 225 103
Lab	102 158 2588 9134 103
Appointment	102 158 7900 6772 103
Appointment	102 158 1462 1944 225 103
Medication	102 158 2588 9134 103
Appointment	102 158 2588 9134 103
Patient instructions	102 158 7900 6772 103
Patient instructions	102 158 7900 6772 103
Medication	102 158 1115 103
Medication	102 158 2588 9134 103
Medication	102 158 2588 9134 103
Lab	102 158 2588 9134 103
Medication	102 158 2588 9134 103
Patient instructions	102 158 2588 9134 103
Appointment	102 158 23383 221 103
Patient instructions	102 158 7900 6772 103
Other	102 158 2588 9134 103
Patient instructions	102 158 7900 6772 103
Medication	102 158 1462 1944 225 103
Appointment	102 158 23383 221 103
Lab	102 158 7900 6772 103
Other	102 158 23383 221 103
Appointment	102 158 2588 9134 103
Appointment	102 158 1115 103
Medication	102 158 2588 9134 103
Medication	102 158 1462 1944 225 103
Medication	102 158 2588 9134 103
Patient instructions	102 158 7900 6772 103
Appointment	102 158 7900 6772 103
Imaging	102 158 15909 103
Lab	102 158 4253 103
Medication	102 158 2588 9134 103
Medication	102 158 2588 9134 103
Appointment	102 158 7900 6772 103
Other	102 158 1115 103
Medication	102 158 7900 6772 103
Appointment	102 158 23383 221 103
Medication	102 158 4253 103
Medication	102 158 4253 103
Appointment	102 158 23383 221 103
Appointment	102 158 23383 221 103
Patient instructions	102 158 7900 6772 103
Appointment	102 158 7900 6772 103
Appointment	102 158 7900 6772 103
Medication	102 158 1462 1944 225 103
Medication	102 158 2588 9134 103
Medication	102 158 2588 9134 103
Medication	102 158 2588 9134 103
Other	102 158 1462 1944 225 103
Medication	102 158 2588 9134 103
Other	102 158 4253 103
Other	102 158 4253 103
Appointment	102 158 2588 9134 103
Medication	102 158 7900 6772 103
Medication	102 158 7900 6772 103
Imaging	102 158 1462 1944 225 103
Appointment	102 158 1462 1944 225 103
